729000023001062608001Y  5311 #0001    N 21   27   ACDBCBBDBCCCDEDACE ACCBCCDBCECADDDBBAAEDCCBBBABCADBDBEBCDAEB
729000024001062608001Y  5311 #0001    N 21    4   BBBBDDBACEDBBAAECACEABADCCBDBECEBBBBBBBBBBBBBEDEDBBCEEACDBBC
729000025001062608001Y  5311 #0001    N 21   22   BBBBDDAACEDCADEBCACECDBBCCEBEEAEBEBDAABBAAEAAADDDCBCEDADDBEC
729000026001062608001Y  5311 #0001    N 21   39   BBDBDDBECEDBADBBBA EDE*CCCBCEEBCCCBCCDCCCECCCCDEDEBCEAADBBEC
729000027001062608001Y  5311 #0001    N 21   14   EADBBDBEAEEAAEBADB DDEECBACEBACBCCAACBBCECEDAADEBBECDEDCDBEC
729000028001062608001Y  5311 #0001    N 21   34   BBBBDDBCCEDBBDCBBACECDBCCCBDECEBBECCCADCBEBBCADDDBBCECADDBEC
729000029001062608001Y  5311 #0001    N 21   42   BBBBDDCCCEDCADABEA ECDBCCDBCEECDCEBAECCECACBAADDDBBCEDADDBEC
729000030001062608001Y  5311 #0001    N 21   38   BBBBDDEEAEDBAACEDE CEDEEBAEDACBCAEBCDABDEABACEDEDBBCECCCDAEC
729000031001062608001Y  5311 #0001    N 21   51   ABDBADBDCDDBCEBEDDAC BEBCB DDCBCBCBBDBBEBAEBBABDDBBCCAECCAEB
729000032001062608001Y  5311 #0001    N 21   24   BADACDEAADCCEEACADCACDBDCABBCEDCBCCCECCABBCDACDEAECDEBACEAEC
729000033001062608001Y  5311 #0001    N 21    6   BBDBDDBCCEDBADBBBEDECDBBBCEBEAABABBCBDBCBABAEEECDBBCEAADBBEC
729000034001062608001Y  5311 #0001    N 21   45   BBDADDBBCEDDBDADDBCBDCCDDBACCABEDCBBCBEAAEBDAEDAAABDEDAADBEB
729000035001062608001Y  5311 #0001    N 21   50   BBDADDBCBCDCDDECDD DBCEDDEADCDDCDCAEDCDEADEEBADDAAEEDDEDDBEC
729000036001062608001Y  5311 #0001    N 21   53   CBDBDBDECEDBDEBBABDDDDEDCAADCDDDCCBBECDEADEECACEDCECDCDDEAEC
729000037001062608001Y  5311 #0001    N 21   15   BBDBDDBACEDBBDAECB EEDBDEBBDCCBDBCC*BBDDBCEBDCDDDCBCEBDCDBEC
729000038001062608001Y  5311 #0001    N 21   19   BBDCDDBACEEBADECEEBCDDECEBCEEADEBECCCBBDBEBABABEDCBCEAACDBEC
729000039001062608001Y  5311 #0001    N 21   41   BBDBBDBACEDABADB A ABDECDAACCDCEBABBDABCDBBDBAEADBCCEBADBBEC
729000040001062608001Y  5311 #0001    N 21   46   BBDBDCCDBABCBDCBDE DADDCBDCDDBBDABDCABBBBCCDAABDACCADEDDBABC
729000041001062608001Y  5311 #0001    N 21   36   BBDBDDCCCEDBBDBBCACECCCCCCCCCCBBBBBEEABBBCEADEDDDABCEAADBBBC
729000042001062608001Y  5311 #0001    N 21    1   BBDBDDBDCEDBCEBBBBADBCACCBCCBCCBACABBDBBABE BAEEACACDDAEDBEC
729000043001062608001Y  5311 #0001    N 21   18   BBDCDDBCCEEBAEBBCA EBDECDDEBECDCCEBCDABDCBACAADEDCBCEAADDBEB
729000044001062608001Y  5311 #0001    N 21   20   EBACDBEADACEDDBCEB DBCDDCAADCECECDEBDDABDBECDBCAEDDAEEACDBEC
729000045001062608001Y  5311 #0001    N 21   10   BBDBDDACCEDDADACBDDECDECBAABEDBCBECDCABBEDECDCEDDBBCEAADDBEC
