729000015001062608001Y  5311 #0001    N 22   41   BBDBDDAECEDBADDBCADACDEACCBDEACCAAEADABCBCBAAACEDBACEDAADBBC
729000016001062608001Y  5311 #0001    N 22   21   BBDBDCBACEEDACBBBADECDBCBCBBECDBBEBDEDBCBBECACDBDDACEEEDDBEC
729000017001062608001Y  5311 #0001    N 22   4    BBDBCDBACEDADDDBCECAADDABCDBCEBEDBECEBDCCBEBDC EBCBCEEBEDBEE
729000018001062608001Y  5311 #0001    N 22   44   BADCDCECCBDBAEAECADEDDADCBCCADABCACADABCBACBDCDEDBBCEEAADBEC
729000019001062608001Y  5311 #0001    N 22   39   BBEBDCAECBDCDADCEBAACCECDBEECACBCAEABCDECBDADECADCDCEAECDBEB
729000020001062608001Y  5311 #0001    N 22   31   BBDBDEAABDDBBDCBBCCBDCEDAABADCDEBEECDBDBBEDCBAEEDCBCDAEDDBEC
729000021001062608001Y  5311 #0001    N 22   6    B*CBBDCACEDADDDECABDBBBCABEDDBBECBDBDEBBCACEADBEADBCBEDDDBEC
729000022001062608001Y  5311 #0001    N 22   45   BCCBDBDBCABABDBAECCCADBBCCBDDBADCBCBDCBCDEBBDCDADBECEAAADBEC
729000023001062608001Y  5311 #0001    N 22   36   ABDBDDBACECCBADADBCDEBECBBDAECDDBCBADAABCEEACBDCEDBEBEDDCBDD
729000024001062608001Y  5311 #0001    N 22   34   EADAAACBBBDBBAEBBBBBBBCBBDBBBBCCCCCCCCCCCCBBCBBBDDCCECACDBEA
729000025001062608001Y  5311 #0001    N 22   26   ECDBDDABCDDBDACECDCDDDEDCBCCCBDDCEDBABBEBEDADACADCBCECBCDBBB
729000026001062608001Y  5311 #0001    N 22   37   BADADDDACEDBADADCCCCACEDDDEBDDBCAEBEEEBBBCCBAACEDCBCEE*DEBEC
729000027001062608001Y  5311 #0001    N 22   15   BBDBCCDECDECBBCADCDDACCDDCDDDDDDBDDDCCDDCEBBDECBDABCECAEDBEC
729000028001062608001Y  5311 #0001    N 22   25   BBDEDDBACEDCAEAAAABBBCCCDDDEEEBCEACCAACCBCEACBCCDCDCEECDBBEB
729000029001062608001Y  5311 #0001    N 22   13   EEBADDDDCEDCDADBBBBBBBEBBBBBBBCBCCCBBCCCCBCECCDECBACCEACDABC
729000030001062608001Y  5311 #0001    N  22     29EBDBCCADDCAADEAEBBACABEDCBCDADABCEBECBBACEEABEABDCBBDECDDBEC
729000031001062608001Y  5311 #0001    N 22   3    BBCABCBBBEEDCEBCBDCBBDECDCCBECBEDBCACDEBAEDDCBCBDCCCBCBCCBEA
729000032001062608001Y  5311 #0001    N 22   30   BBDBDDCBCDDBADBEBA ADDEACDCECCBEBABDDDDDBCBEABACBBABDEAEDBBB
729000033001062608001Y  5311 #0001    N 22   11   BBDBCBDCDEDADDDABACBBCDCCACDBDCBCCDBABAEBCEABDDCADCCEBDADBEC
